"","unit_code","street_ad","scity_ad","state_ad","szip_ad","Address","lon","lat"
"1208","510376","101 Dr Donnie H Jones Jr Blvd","Princeton","NC",27569,"101 Dr Donnie H Jones Jr Blvd ,  Princeton   NC",-78.1583805,35.4670913
"1218","510399","700 Booker Dairy Rd","Smithfield","NC",27577,"700 Booker Dairy Rd ,  Smithfield   NC",-78.3240341,35.5297932
"1219","510402","10381 US Hwy 301 S","Four Oaks","NC",27524,"10381 US Hwy 301 S ,  Four Oaks   NC",-78.4976278,35.4068506
"1228","520320","1490 Hwy 58 South","Trenton","NC",28585,"1490 Hwy 58 South ,  Trenton   NC",-77.3340229,35.0332811
"1239","530336","1708 Nash Street","Sanford","NC",27330,"1708 Nash Street ,  Sanford   NC",-79.148382,35.4663929
"1242","530343","2301 Tramway Road","Sanford","NC",27332,"2301 Tramway Road ,  Sanford   NC",-79.1855845,35.435039
"1250","540315","2601 N Queen St","Kinston","NC",28501,"2601 N Queen St ,  Kinston   NC",-77.575268,35.2956029
"1255","540324","2400 Institute Road","La Grange","NC",28551,"2400 Institute Road ,  La Grange   NC",-77.6795963,35.3415753
"1260","540336","3355 Old Hwy 11 South","Deep Run","NC",28525,"3355 Old Hwy 11 South ,  Deep Run   NC",-77.704149,35.146012
"1273","550332","803 N Aspen St","Lincolnton","NC",28092,"803 N Aspen St ,  Lincolnton   NC",-81.260353,35.47962
"1286","550368","172 Shoal Rd","Lincolnton","NC",28092,"172 Shoal Rd ,  Lincolnton   NC",-81.389974,35.485337
"1290","560320","100 Panther Drive","Franklin","NC",28734,"100 Panther Drive ,  Franklin   NC",-83.3821942,35.1764261
"1296","560332","213 Windingstairs Rd","Topton","NC",28781,"213 Windingstairs Rd ,  Topton   NC",-83.6458779,35.2812285
"1302","570318","5740 US Hwy 25-70","Marshall","NC",28753,"5740 US Hwy 25-70 ,  Marshall   NC",-82.6729452,35.8149074
"1310","580344","21077 NC Hwy 903","Robersonville","NC",27871,"21077 NC Hwy 903 ,  Robersonville   NC",-77.243593,35.856241
"1313","580368","1260 Godwin Ave","Williamston","NC",27892,"1260 Godwin Ave ,  Williamston   NC",-77.0677747,35.8387782
"1320","590330","600 McDowell High School Dr","Marion","NC",28752,"600 McDowell High School Dr ,  Marion   NC",-82.0401177,35.7000169
"1349","600341","6200 Starhaven Dr","Charlotte","NC",28215,"6200 Starhaven Dr ,  Charlotte   NC",NA,NA
"1373","600386","1411 Hawthorne Ln","Charlotte","NC",28205,"1411 Hawthorne Ln ,  Charlotte   NC",-80.8146806,35.2286724
"1376","600397","1100 Eastway Dr","Charlotte","NC",28205,"1100 Eastway Dr ,  Charlotte   NC",-80.7833863,35.2417204
"1388","600415","11530 Beatties Ford Rd","Huntersville","NC",28078,"11530 Beatties Ford Rd ,  Huntersville   NC",-80.9110403,35.3792074
"1419","600457","10505 Clear Creek Commerce Dr","Mint Hill","NC",28227,"10505 Clear Creek Commerce Dr ,  Mint Hill   NC",-80.6406798,35.214061
"1430","600480","11201 Old Statesville Rd","Huntersville","NC",28078,"11201 Old Statesville Rd ,  Huntersville   NC",-80.833625,35.372836
"1443","600498","2300 W Sugar Creek Road","Charlotte","NC",28262,"2300 W Sugar Creek Road ,  Charlotte   NC",-80.7966819,35.2950261
"1480","600576","2219 Senior Dr","Charlotte","NC",28216,"2219 Senior Dr ,  Charlotte   NC",-80.8597686,35.2660082
"1482","600579","7400 Tuckaseegee Rd","Charlotte","NC",28214,"7400 Tuckaseegee Rd ,  Charlotte   NC",-80.9520921,35.2473959
"1488","600592","7600 IBM Dr","Charlotte","NC",28262,"7600 IBM Dr ,  Charlotte   NC",-80.7689268,35.3001651
"1489","600693","4301 Sandy Porter Rd Suite D","Charlotte","NC",28273,"4301 Sandy Porter Rd Suite D ,  Charlotte   NC",-80.952376,35.157963
"1492","600696","4301 Sandy Porter Rd Suite C","Charlotte","NC",28273,"4301 Sandy Porter Rd Suite C ,  Charlotte   NC",-80.952376,35.157963
"1500","610334","416 Ledger School Rd","Bakersville","NC",28705,"416 Ledger School Rd ,  Bakersville   NC",-82.117424,35.970355
"1504","620316","157 Eagle Lane","Biscoe","NC",27209,"157 Eagle Lane ,  Biscoe   NC",-79.7781321,35.3393946
"1511","620340","147 Warrior Drive","Mount Gilead","NC",27306,"147 Warrior Drive ,  Mount Gilead   NC",-79.9601527,35.2966485
"1522","630332","1504 North Moore Rd","Robbins","NC",27325,"1504 North Moore Rd ,  Robbins   NC",-79.553745,35.467586
"1550","640346","4279 Nash Central High Road","Rocky Mount","NC",27804,"4279 Nash Central High Road ,  Rocky Mount   NC",-77.8959201,35.9553937
"1553","640350","4230 Green Hills Road","Rocky Mount","NC",27804,"4230 Green Hills Road ,  Rocky Mount   NC",-77.892535,35.998602
"1556","640361","1400 Bethlehem Road","Rocky Mount","NC",27803,"1400 Bethlehem Road ,  Rocky Mount   NC",-77.8357419,35.939355
"1558","640364","6446 Southern Nash High Road","Bailey","NC",27807,"6446 Southern Nash High Road ,  Bailey   NC",-78.0860508,35.8491918
"1609","660336","152 Hurricane Drive","Gaston","NC",27832,"152 Hurricane Drive ,  Gaston   NC",-77.652447,36.5108559
"1617","670320","160 Dixon School Rd","Holly Ridge","NC",28445,"160 Dixon School Rd ,  Holly Ridge   NC",-77.4799947,34.5846325
"1621","670324","1021 Henderson Dr","Jacksonville","NC",28540,"1021 Henderson Dr ,  Jacksonville   NC",-77.425957,34.7836351
"1627","670333","365 Commons Drive South","Jacksonville","NC",28546,"365 Commons Drive South ,  Jacksonville   NC",-77.3887867,34.7915317
"1633","670340","8100 Richlands Hwy","Richlands","NC",28574,"8100 Richlands Hwy ,  Richlands   NC",-77.5440289,34.8917066
"1637","670344","1420 Burgaw Hwy","Jacksonville","NC",28540,"1420 Burgaw Hwy ,  Jacksonville   NC",-77.4826176,34.7501974
"1643","670352","161 Queens Creek Rd","Swansboro","NC",28584,"161 Queens Creek Rd ,  Swansboro   NC",-77.1542979,34.6997616
"1645","670364","1001 Piney Green Rd","Jacksonville","NC",28546,"1001 Piney Green Rd ,  Jacksonville   NC",-77.3487854,34.7691738
"1680","690320","601 Main Street","Bayboro","NC",28515,"601 Main Street ,  Bayboro   NC",-76.778686,35.1415602
"1687","700317","963 Oak Stump Rd","Elizabeth City","NC",27909,"963 Oak Stump Rd ,  Elizabeth City   NC",-76.2567873,36.2860483
"1689","700319","1064 Northside Road","Elizabeth City","NC",27909,"1064 Northside Road ,  Elizabeth City   NC",-76.2735096,36.3654528
"1698","710321","14328 NC Hwy 210","Rocky Point","NC",28457,"14328 NC Hwy 210 ,  Rocky Point   NC",-77.8896794,34.4343921
"1701","710326","5380 NC Hwy 53 W","Burgaw","NC",28425,"5380 NC Hwy 53 W ,  Burgaw   NC",-78.01245,34.5444541
"1712","720316","305 Edenton Road St","Hertford","NC",27944,"305 Edenton Road St ,  Hertford   NC",-76.474272,36.184164
"1719","730352","1010 Ridge Rd","Roxboro","NC",27573,"1010 Ridge Rd ,  Roxboro   NC",-78.9833967,36.4100814
"1727","740309","7653 NC 11 South","Ayden","NC",28513,"7653 NC 11 South ,  Ayden   NC",-77.4312013,35.4302132
"1739","740344","3308 E Wilson Street","Farmville","NC",27828,"3308 E Wilson Street ,  Farmville   NC",-77.5688377,35.5941998
"1744","740366","600 W Arlington Blvd","Greenville","NC",27834,"600 W Arlington Blvd ,  Greenville   NC",NA,NA
"1746","740374","5659 NC 11 North","Bethel","NC",27812,"5659 NC 11 North ,  Bethel   NC",-77.3636,35.747459
"1752","740388","570 W Forlines Road","Winterville","NC",28590,"570 W Forlines Road ,  Winterville   NC",-77.429439,35.542228
"1770","760318","390 Eastern Randolph Rd","Ramseur","NC",27316,"390 Eastern Randolph Rd ,  Ramseur   NC",-79.6181721,35.7584473
"1780","760339","5555 Mack Lineberry Rd","Climax","NC",27233,"5555 Mack Lineberry Rd ,  Climax   NC",-79.7146969,35.8493379
"1783","760348","4396 Tigers Den Rd","Randleman","NC",27317,"4396 Tigers Den Rd ,  Randleman   NC",-79.8209494,35.8265666
"1788","760358","1641 Hopewell Friends Rd","Asheboro","NC",27205,"1641 Hopewell Friends Rd ,  Asheboro   NC",-79.870065,35.6235497
"1795","760380","5746 Trinity High School Rd","Trinity","NC",27370,"5746 Trinity High School Rd ,  Trinity   NC",-79.9979648,35.8938723
"1797","760388","3678 Finch Farm Rd","Trinity","NC",27370,"3678 Finch Farm Rd ,  Trinity   NC",-80.0068526,35.8292659
"1798","761304","1221 S Park St","Asheboro","NC",27203,"1221 S Park St ,  Asheboro   NC",-79.8186435,35.689799
"1815","770348","838 US 1 North","Rockingham","NC",28379,"838 US 1 North ,  Rockingham   NC",-79.715888,34.9496275
"1825","780325","5419 Old Stage Road","Fairmont","NC",28340,"5419 Old Stage Road ,  Fairmont   NC",-79.094735,34.4797693
"1834","780342","3901 Fayetteville Rd","Lumberton","NC",28358,"3901 Fayetteville Rd ,  Lumberton   NC",-78.9977661,34.6470078
"1846","780391","509 N Vance Street","Red Springs","NC",28377,"509 N Vance Street ,  Red Springs   NC",-79.1866101,34.8231547
"1853","780401","648 North Stage Rd","Saint Pauls","NC",28384,"648 North Stage Rd ,  Saint Pauls   NC",-78.9769109,34.8146935
"1854","780402","3268 South Robeson Rd","Rowland","NC",28383,"3268 South Robeson Rd ,  Rowland   NC",-79.2532334,34.5453638
"1863","780420","11344 Deep Branch Road","Pembroke","NC",28372,"11344 Deep Branch Road ,  Pembroke   NC",-79.2467008,34.695558
"1866","790314","6845 Hwy 135","Mayodan","NC",27027,"6845 Hwy 135 ,  Mayodan   NC",-79.9426166,36.4172668
"1875","790354","134 N Pierce St","Eden","NC",27288,"134 N Pierce St ,  Eden   NC",-79.735951,36.505088
"1878","790366","1901 S Park Dr","Reidsville","NC",27320,"1901 S Park Dr ,  Reidsville   NC",-79.675195,36.329975
"1880","790378","180 High School Rd","Reidsville","NC",27320,"180 High School Rd ,  Reidsville   NC",NA,NA
"1897","800340","175 St Luke's Church Rd","Salisbury","NC",28146,"175 St Luke's Church Rd ,  Salisbury   NC",-80.4225268,35.5931729
"1906","800361","290 Kress Venture Dr","China Grove","NC",28023,"290 Kress Venture Dr ,  China Grove   NC",-80.5437339,35.5659986
"1914","800376","300 North Whitehead Ave","Spencer","NC",28159,"300 North Whitehead Ave ,  Spencer   NC",-80.4294357,35.6973332
"1918","800396","500 Lincolnton Rd","Salisbury","NC",28144,"500 Lincolnton Rd ,  Salisbury   NC",-80.484865,35.6648179
"1920","800400","1655 Patterson St","China Grove","NC",28023,"1655 Patterson St ,  China Grove   NC",-80.610293,35.572984
"1921","800408","8050 NC 801 Hwy","Mount Ulla","NC",28125,"8050 NC 801 Hwy ,  Mount Ulla   NC",-80.6439773,35.6987181
"1924","810324","1603 Chase High Rd","Forest City","NC",28043,"1603 Chase High Rd ,  Forest City   NC",-81.8430129,35.2502768
"1928","810340","331 East High Rd","Bostic","NC",28018,"331 East High Rd ,  Bostic   NC",-81.8178248,35.3408462
"1936","810384","641 Hwy 221 North","Rutherfordton","NC",28139,"641 Hwy 221 North ,  Rutherfordton   NC",-81.9676299,35.4026798
"1948","820348","12201 Hobbton Hwy","Newton Grove","NC",28366,"12201 Hobbton Hwy ,  Newton Grove   NC",-78.3286385,35.1776746
"1949","820349","245 Lakewood School Rd","Salemburg","NC",28385,"245 Lakewood School Rd ,  Salemburg   NC",-78.5007858,34.9909373
"1951","820352","15274 Spiveys Corner Highway","Newton Grove","NC",28366,"15274 Spiveys Corner Highway ,  Newton Grove   NC",NA,NA
"1959","820388","1189 Kader Merritt Road","Rose Hill","NC",28458,"1189 Kader Merritt Road ,  Rose Hill   NC",-78.242059,34.808835
"1961","821308","340 Indian Town Road","Clinton","NC",28328,"340 Indian Town Road ,  Clinton   NC",-78.3303167,34.9718577
"1971","830343","1000 West Church St","Laurinburg","NC",28352,"1000 West Church St ,  Laurinburg   NC",NA,NA
"1977","840302","311 Park Ridge Road","Albemarle","NC",28001,"311 Park Ridge Road ,  Albemarle   NC",-80.192856,35.371967
"1987","840332","40206 US Hwy 52 N","New London","NC",28127,"40206 US Hwy 52 N ,  New London   NC",-80.2110206,35.4267743
"1992","840356","40488 S Stanly School Rd","Norwood","NC",28128,"40488 S Stanly School Rd ,  Norwood   NC",NA,NA
"1996","840368","306 East Red Cross Road","Oakboro","NC",28129,"306 East Red Cross Road ,  Oakboro   NC",-80.3467846,35.2677326
"2005","850332","1350 N Stokes Sch Rd","Danbury","NC",27016,"1350 N Stokes Sch Rd ,  Danbury   NC",-80.28031,36.464439
"2012","850352","1100 S Stokes High Drive","Walnut Cove","NC",27052,"1100 S Stokes High Drive ,  Walnut Cove   NC",NA,NA
"2015","850358","1400 Priddy Road","King","NC",27021,"1400 Priddy Road ,  King   NC",-80.3758359,36.3140098
"2027","860336","2440 W Pine Street","Mount Airy","NC",27030,"2440 W Pine Street ,  Mount Airy   NC",-80.673766,36.504944
"2032","860352","716 South Main Street","Dobson","NC",27017,"716 South Main Street ,  Dobson   NC",-80.7148274,36.3817857
"2043","870314","1415 Fontana Road","Bryson City","NC",28713,"1415 Fontana Road ,  Bryson City   NC",-83.4563177,35.4472269
"2053","880328","749 Pickens Hwy","Rosman","NC",28772,"749 Pickens Hwy ,  Rosman   NC",-82.8215056,35.1446572
"2056","890304","902 Main St","Columbia","NC",27925,"902 Main St ,  Columbia   NC",-76.246185,35.919445
"2070","900316","100 Forest Hills School Rd","Marshville","NC",28103,"100 Forest Hills School Rd ,  Marshville   NC",-80.414609,34.979545
"2076","900336","1 High School Dr","Monroe","NC",28112,"1 High School Dr ,  Monroe   NC",-80.5268582,34.9724281
"2081","900344","3220 Parkwood School Rd","Monroe","NC",28112,"3220 Parkwood School Rd ,  Monroe   NC",-80.6305633,34.9013369
"2120","910364","925 Garrett Road","Henderson","NC",27537,"925 Garrett Road ,  Henderson   NC",-78.377718,36.3004396
"2122","910370","293 Warrenton Road","Henderson","NC",27537,"293 Warrenton Road ,  Henderson   NC",-78.3742753,36.3506061
"2175","920411","5101 Rolesville Rd","Wendell","NC",27591,"5101 Rolesville Rd ,  Wendell   NC",-78.4245084,35.814153
"2209","920466","100 Bryan Chalk Lane","Knightdale","NC",27545,"100 Bryan Chalk Lane ,  Knightdale   NC",-78.4764343,35.8115079
"2251","920546","1099 East Young St","Rolesville","NC",27571,"1099 East Young St ,  Rolesville   NC",-78.4413997,35.9059058
"2268","920581","2200 S Wilmington St","Raleigh","NC",27603,"2200 S Wilmington St ,  Raleigh   NC",-78.6432426,35.7528333
"2301","930352","149 Campus Drive","Warrenton","NC",27589,"149 Campus Drive ,  Warrenton   NC",-78.1676608,36.4326057
"2303","930360","210 Ridgeway St","Warrenton","NC",27589,"210 Ridgeway St ,  Warrenton   NC",-78.1553541,36.4028262
"2304","930700","219 US Hwy 158 Bypass","Warrenton","NC",27589,"219 US Hwy 158 Bypass ,  Warrenton   NC",-78.1711762,36.4337896
"2306","940308","115 West Middle Street","Creswell","NC",27928,"115 West Middle Street ,  Creswell   NC",-76.3971817,35.8688375
"2308","940316","800 E Main St","Plymouth","NC",27962,"800 E Main St ,  Plymouth   NC",-76.7385947,35.8703381
"2324","960324","5460 US 117 North","Pikeville","NC",27863,"5460 US 117 North ,  Pikeville   NC",-77.9790035,35.5094989
"2327","960330","1135 New Hope Road","Goldsboro","NC",27534,"1135 New Hope Road ,  Goldsboro   NC",-77.8817875,35.3770892
"2330","960335","901 E Beech Street","Goldsboro","NC",27530,"901 E Beech Street ,  Goldsboro   NC",-77.9796645,35.3871146
"2338","960372","900 Rosewood Road","Goldsboro","NC",27530,"900 Rosewood Road ,  Goldsboro   NC",-78.0751134,35.4160614
"2341","960380","124 Walter Fulcher Rd","Dudley","NC",28333,"124 Walter Fulcher Rd ,  Dudley   NC",-78.0457642,35.2536839
"2343","960386","4340 Indian Springs Rd","Seven Springs","NC",28578,"4340 Indian Springs Rd ,  Seven Springs   NC",-77.899039,35.2269859
"2356","970320","13315 Elkin Hwy 268","Ronda","NC",28670,"13315 Elkin Hwy 268 ,  Ronda   NC",NA,NA
"2363","970356","2986 Traphill Rd","Hays","NC",28635,"2986 Traphill Rd ,  Hays   NC",-81.0983591,36.2824651
"2371","970390","1179 Moravian Falls Rd","Wilkesboro","NC",28697,"1179 Moravian Falls Rd ,  Wilkesboro   NC",-81.1756953,36.1159631
"2377","980318","4510 Old Stantonsburg Rd","Wilson","NC",27893,"4510 Old Stantonsburg Rd ,  Wilson   NC",-77.8758512,35.6600796
"2380","980336","500 Harrison Dr N","Wilson","NC",27893,"500 Harrison Dr N ,  Wilson   NC",-77.9219147,35.7534636
"2383","980342","4559 Lamm Rd","Wilson","NC",27893,"4559 Lamm Rd ,  Wilson   NC",NA,NA
"2405","990322","1525 Falcon Road","East Bend","NC",27018,"1525 Falcon Road ,  East Bend   NC",-80.557878,36.144049
"2408","990326","2516 Longtown Rd","Boonville","NC",27011,"2516 Longtown Rd ,  Boonville   NC",-80.7713097,36.182533
